,indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
23,2018-12-01,57204.0,31136.1,57203955.86361999,56452356.42238999,751599.44123,57203955.86361999,19372979.314990014,16252211.763499994,19596671.42890001,1982093.35623,57203955.86361999,38897886.82512,9591843.12996,14277710.694189996,1987411.83077,5209569.967880001,5446438.43636,1782265.95895,602646.8070100001,7737390.299400001,1732097.9632399995,2850608.699660001,5985972.076199999
26,2019-03-01,51065.7,24647.7,51065694.25465001,50347782.683160014,717911.5714899999,51065694.25465001,17737278.503999993,13685678.100496195,17969551.879616998,1673185.7705400004,51065694.25465001,35639253.94641899,5901419.921098999,13664374.994759995,1863315.83183,5729158.058440001,6187148.573529999,1733045.1574399995,560791.4093200001,7753557.686830002,1250658.5743299995,2294642.2698900006,4127581.7771799993
28,2019-05-01,50778.3,22852.1,50778299.9144,49813853.04009,964446.87431,50778299.9144,17247751.268843994,13838777.255979998,18013021.917039998,1678749.47254,50778299.9144,35586722.00145,5258910.24774,14391198.41905,1910340.61452,6223354.017650002,5732375.989019999,1526614.2530900002,543928.4603800001,7602583.365410001,1504788.0079299998,2486484.8315199995,3597721.7080899994
29,2019-06-01,54413.4,23803.4,54413419.61482,53591716.25316001,821703.3616599999,54413419.61482,17995550.11326,15507030.32112,19225537.23247,1685301.94797,54413419.61482,37819361.44685999,5602884.226259999,15319207.31488,2072217.1330600004,6642410.27617,6000958.161809998,1591347.4123299995,590336.92235,8048845.872799999,1826746.71137,2810683.0828700005,3907782.500920001
30,2019-07-01,55044.5,23580.1,55044482.25732,54121341.62436,923140.63296,55044482.25732,18548992.456090007,15609905.9127,19194608.053610004,1690975.8349200003,55044482.25732,38131665.01202951,5612874.217779999,15602920.26619,2119480.47367,6625542.260160002,5890360.284974,1696455.0968255005,584032.4124300003,7868920.346770001,1715793.10165,3030760.22102,4297343.575850001
31,2019-08-01,59672.1,24329.9,59672104.45567001,58647926.47731001,1024177.97836,59672104.45567001,19745340.249500003,16044555.337071996,21781404.017981987,2100804.85112,59672104.45567001,41692727.534866,6069725.943820001,17125415.36678,2205098.44878,7351482.51123,6419554.8615259975,1903751.83603,617698.5666999999,8632826.213410001,1208097.67593,3073567.95134,5064885.080120002
32,2019-09-01,57885.3,22144.7,57885306.40686999,56887830.18007998,997476.22679,57885306.40686999,19561438.284749985,15872044.54628,20612694.849708997,1839128.7261300003,57885306.40686999,41090401.956106,6372597.213819998,16428217.44194,2192061.57613,7182926.619360001,6359574.893426,1949185.85839,605838.3530400002,8902170.01765,1202878.61775,2719800.95723,3970054.858129999
33,2019-10-01,66325.6,24652.7,66325579.59368,65144928.115430005,1180651.47825,66325579.59368,21884744.730451003,17749686.58293429,24432918.572433,2258229.7078618007,66325579.59368,45492474.30343828,7475899.072497,17942183.893732578,2403879.6151701985,7900014.451017998,6957491.715031801,2143017.1776677,669988.3783210004,10075045.155853303,1410451.35611,4712825.327799999,4634783.450476599
34,2019-11-01,67943.7,24270.7,67943710.18743,66454203.74208,1489506.4453500002,67943710.18743,22763201.5517,16506702.373734,26455726.00132099,2218080.26067,67943710.18743,46073845.36260799,8816995.30079,17296630.38648,2337204.02101,7523217.587329999,7072708.039417999,2347744.24576,679345.7818199999,10247962.26492,1572523.6138900002,4829969.163179999,5219409.78283
35,2019-12-01,83524.6,29147.9,83524644.2915,82246180.67768,1278463.61382,83524644.2915,27960470.497710004,21105019.72176601,31600065.928096,2859088.143929999,83524644.2915,57646427.95771201,13299621.47915,20776781.416310005,2985037.699810002,7985919.655520001,8877286.116901997,2838731.6731,883049.9169199999,11316019.2713,2197595.46859,4638017.9133,7726583.6806000015
36,2020-01-01,70145.0,23483.3,70145010.27273001,69104127.61199,1040882.66074,70145010.27273001,25121140.424074013,16421681.807168407,26279836.484293897,2322351.55719,70145010.27273001,47496667.89030299,8727149.3132,17489114.37861,2513045.890880001,7612363.147730001,7726181.492612999,2685147.6436800007,743666.02359,11066696.534919998,1775180.1644500005,3768285.2241500006,6038180.458899999
37,2020-02-01,72494.4,23702.0,72494433.66173999,71514175.14700998,980258.51473,72494433.66173999,23982883.637197025,18677850.857655,27241035.986255,2592663.180630001,72494433.66173999,50272765.35498399,8876881.393719997,18718680.52182,2642994.22275,8169113.796009998,8316318.598123997,2778662.8211,770114.00146,10866053.98348,1867271.73628,3407081.4500799994,6081261.13692
38,2020-03-01,85778.0,26996.7,85778031.08881997,84174875.51342997,1603155.57539,85778031.08881997,26532575.533931985,22420795.889567308,33716809.20248102,3107850.46284,85778031.08881997,61417479.251030006,8284935.992699997,26179704.492430013,2954223.17475,10540220.755719995,9503388.95934,3248772.9431,706232.9329899999,14387138.382410005,1048525.3074200004,3460494.399360001,5464393.7486000005
